step_index,target_name,expected_h,expected_v,detected_h,detected_v,ts_detected_h,ts_detected_v,correct,h_value_h,v_value_h,h_value_v,v_value_v,h_velocity_h,v_velocity_h,h_velocity_v,v_velocity_v,h_value_max,h_value_min,v_value_max,v_value_min,h_threshold_left,h_threshold_right,v_threshold_up,v_threshold_down
0,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
1,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
2,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
3,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
4,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
5,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
6,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
7,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
8,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
9,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
10,right,right,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
11,left,left,,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
12,center,,,,,,,True,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
13,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
14,down,,down,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
15,up,,up,,,,,False,0,0,0,0,0,0,0,0,-inf,inf,-inf,inf,2.0306325411087145,1.6684548933512107,2.034966365190221,0.8813863391344661
,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,6/16 (37.5%),,,,,,,,,,,,,,,,,,,,,,
,THRESHOLDS,"Left: 2.0306, Right: 1.6685","Up: 2.0350, Down: 0.8814",,,,,,,,,,,,,,,,,,,,,
